threshold,fpr,tpr
127.0001,0.999999999997904,0.9999999999859155
128.0001,0.999999999997904,0.9999999999859155
129.0001,0.999999999997904,0.9999999999859155
130.0001,0.999999999997904,0.9999999999859155
131.0001,0.999999999997904,0.9999999999859155
132.0001,0.999999999997904,0.9999999999859155
133.0001,0.999999999997904,0.9999999999859155
134.0001,0.999999999997904,0.9999999999859155
135.0001,0.999999999997904,0.9999999999859155
136.0001,0.999999999997904,0.9999999999859155
137.0001,0.999999999997904,0.9999999999859155
138.0001,0.999999999997904,0.9999999999859155
139.0001,0.999999999997904,0.9999999999859155
140.0001,0.999999999997904,0.9999999999859155
141.0001,0.999999999997904,0.9999999999859155
142.0001,0.999999999997904,0.9999999999859155
143.0001,0.999999999997904,0.9999999999859155
144.0001,0.999999999997904,0.9999999999859155
